counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
1397	0.0263684409211023	1	4	25.8916	71.4	36.5	84.2	80703942	-10.9642156203739
2891	0.0545677614194035	1	5	25.8916	84.2	36.5	98.94	117382858	-10.6115936990523
9824	0.185428463571159	2	5	36.5	84.2	46.58	98.94	420767782	-10.6650080023815
5589	0.105492638731597	2	4	36.5	71.4	46.58	84.2	289289418	-10.8543825320609
356	0.006719516798792	1	3	25.8916	58.6	36.5	71.4	36331560	-11.5332666121427
1195	0.0225556813892035	2	3	36.5	58.6	46.58	71.4	130233240	-11.5989360903289
210	0.00396375990939977	2	2	36.5	45.8	46.58	58.6	45110506	-12.2775181956293
9020	0.170252925632314	3	5	46.58	84.2	56.66	98.94	473632580	-10.8687428183411
6126	0.115628539071348	3	4	46.58	71.4	56.66	84.2	325635420	-10.8809916825672
2658	0.0501698754246886	3	3	46.58	58.6	56.66	71.4	146595600	-10.9178590940507
3722	0.0702529256323141	4	4	56.66	71.4	66.74	84.2	187730367	-10.8285008360317
50	0.000943752359380898	1	2	25.8916	45.8	36.5	58.6	12584614	-12.4359625092188
932	0.0175915439788599	3	2	46.58	45.8	56.66	58.6	50778140	-10.9056436902904
204	0.00385050962627407	3	1	46.58	32.34	56.66	45.8	6799460	-10.4142337613841
987	0.0186296715741789	4	2	56.66	45.8	66.74	58.6	29273839	-10.2975347688165
2840	0.053605134012835	4	3	56.66	58.6	66.74	71.4	84513060	-10.3008573054426
103	0.00194412986032465	4	1	56.66	32.34	66.74	45.8	3919921	-10.5468530702727
8	0.000151000377500944	2	1	36.5	32.34	46.58	45.8	6040534	-13.5345614349192
3267	0.0616647791619479	4	5	56.66	84.2	66.74	98.94	273051433	-11.3335433230706
502	0.00947527368818422	5	2	66.74	45.8	78.3564	58.6	4292281	-9.05372873154094
691	0.013042657606644	5	3	66.74	58.6	78.3564	71.4	12391740	-9.79440085581282
359	0.00677614194035485	5	4	66.74	71.4	78.3564	84.2	27525993	-11.2473189277283
5	0.0000943752359380898	5	5	66.74	84.2	78.3564	98.94	40036207	-15.8958568652203
44	0.000830502076255191	5	1	66.74	32.34	78.3564	45.8	574759	-9.47751646756673
